NN	n
NNC	n
NST	adv
NNP	n
NNPC	n
PRP	pn
PRPC	pn
DEM	pn
VM	v
VMC	v
VAUX	v
JJ	adj
JJC	adj
RBC	adv
RB	adv
PSP	psp
RP	avy
CC	avy
WQ	pn
QF	adj	avy
QC	adj	num
QO	adj	num
CL	avy
INTF	adj	avy
INJ	avy
SYM	punc
NEG	adv	avy
UT	avy
